"bloco","bairro","regiao","data","data_relativa","concentracao","desfile","final","local_da_concentracao","percurso","publico_estimado","ano_do_primeiro_desfile","label","lon","lat"
"Sargento Pimenta","Aterro do Flamengo","Zona Sul",2018-02-12,"Segunda-feira de Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"aterro do flamengo entre o mam e a marina da gloria rio de janeiro","Parado",60000,2011,"Bloco: Sargento Pimenta - Bairro: Aterro do Flamengo - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 08:00:00",NA,NA
"Seca Copo","Ilha do Governador","Zona Norte 3",2018-02-12,"Segunda-feira de Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"rua monjolos  rio de janeiro","Rua Monjolos, Praia da Pitangueiras, Rua Formosa, Est. Rio Jequiá, Rua Monjolos e volta a concentração",900,2010,"Bloco: Seca Copo - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 13:00:00",-43.179913,-22.8168256
"Sem Noção","Lapa","Centro",2018-02-12,"Segunda-feira de Carnaval",1899-12-31 12:00:00,1899-12-31 14:00:00,1899-12-31 17:00:00,"rua dos arcos  rio de janeiro","Rua dos Arcos, Rua do Lavradio, Rua do Senado, Rua dos Inválidos, Rua da Relação até Av. Gomes Freire",2000,2010,"Bloco: Sem Noção - Bairro: Lapa - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 12:00:00",-43.1812725,-22.9121758
"Sou Cheio de Amor","Copacabana","Zona Sul",2018-02-12,"Segunda de Carnaval",1899-12-31 11:00:00,1899-12-31 13:00:00,1899-12-31 16:00:00,"av  atlantica  rio de janeiro","Parado",1000,2013,"Bloco: Sou Cheio de Amor - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 11:00:00",NA,NA
"Tigres do Coqueiro","Pedra de Guaratiba","Zona Oeste",2018-02-12,"Segunda-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 19:00:00,1899-12-31 21:00:00,"rua barros de alarcao  praca sao pedro rio de janeiro","Rua Barros de Alarcão Nº283 até o Nº427",300,2007,"Bloco: Tigres do Coqueiro - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 17:00:00",NA,NA
"Turbilhão Carioca","Lagoa","Zona Sul",2018-02-12,"Segunda-feira de Carnaval",1899-12-31 10:00:00,1899-12-31 12:00:00,1899-12-31 16:00:00,"parque dos patins rio de janeiro","Parado",1000,2009,"Bloco: Turbilhão Carioca - Bairro: Lagoa - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 10:00:00",-43.216449,-22.9722713
"Turma do Copo","Ilha de Paquetá","Centro",2018-02-12,"Segunda-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"praia jose bonifacio rio de janeiro","Praia José Bonifacio e Rua Furkim Werneck",400,1992,"Bloco: Turma do Copo - Bairro: Ilha de Paquetá - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 17:00:00",-43.1101148,-22.7626789
"Vem Comigo","Vila Cosmos","Zona Norte 1",2018-02-12,"Terça-feira de Carnaval",1899-12-31 14:00:00,1899-12-31 17:30:00,1899-12-31 19:00:00,"rua itacambira c av  meriti rio de janeiro","Rua Alecrim, Rua Itacambira com Rua Imbiaça.",1200,2000,"Bloco: Vem Comigo - Bairro: Vila Cosmos - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 14:00:00",NA,NA
"Vermelho e Preto Coirmãos","Padre Miguel","Zona Oeste",2018-02-12,"Segunda-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 19:30:00,1899-12-31 22:00:00,"rua helianto rio de janeiro","Rua Helianto, Rua Olimpia Esteves, Rua Vila Nova e retorna para Helianto.",500,2015,"Bloco: Vermelho e Preto Coirmãos - Bairro: Padre Miguel - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 17:00:00",NA,NA
"Virilha de Minhoca","Bangu","Zona oeste",2018-02-12,"Segunda de Carnaval",1899-12-31 18:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua fonseca  rio de janeiro","Rua fonseca, rua oliveira ribeiro, Av. Cônego de Vasconcelos, Rua Santa Cecilia, Rua Fonseca",6000,2002,"Bloco: Virilha de Minhoca - Bairro: Bangu - Regiao: Zona Norte 2Data: 2018-02-12 - Concentração 18:00:00",-43.4655499,-22.8819827
"A Rocha da Gávea","Gávea","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 08:00:00,1899-12-31 09:00:00,1899-12-31 13:00:00,"praca santos dumont rio de janeiro","Praça Santos Dumont, Rua Marquês de São Vicente, Rua Vice-Governador Rubens Berardo e Terminal da PUC",900,2003,"Bloco: A Rocha da Gávea - Bairro: Gávea - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 08:00:00",-43.2260473,-22.9732124
"Acadêmicos do Engenho de Dentro","Engenho de Dentro","Zona Norte 2",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 21:00:00,"rua venancio ribeiro  rio de janeiro","Rua Venâncio Ribeiro, Rua Maria Paula, Rua Catulo CearenSe e Rua Adolfo Bergamini",1000,2011,"Bloco: Acadêmicos do Engenho de Dentro - Bairro: Engenho de Dentro - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.2996903,-22.9075392
"Alegria do Guarabu","Ilha do Governador","Zona Norte 3",2018-02-13,"Terça-feira de Carnaval",1899-12-31 13:00:00,1899-12-31 14:00:00,1899-12-31 18:00:00,"rua luis gomes  pedreira  rio de janeiro","Rua Luis Gomes, Rua Inhoverá, Rua Dr. leon Roussoulieres, Rua Tramandaí, Rua Estocolmo, Rua Genebra, Rua Catalpa, Rua Flamarion, Rua Berna e Rua Luis Gomes",1000,2012,"Bloco: Alegria do Guarabu - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 13:00:00",-42.2145592,-22.829141
"Amigos da Esquina de Madureira - Fla Esquina","Madureira","Zona Norte 1",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1900-01-03 19:00:00,1899-12-31 21:00:00,"praca de magno rio de janeiro","Parado",500,2017,"Bloco: Amigos da Esquina de Madureira - Fla Esquina - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.1745717,-22.7874422
"Amigos da Onça","Ilha do Governador","Zona Norte 3",2018-02-13,"Terça-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 17:00:00,1899-12-31 20:00:00,"praca manoel bandeira rio de janeiro","Praça Manoel Bandeira, Avenida Paranapuan e Marques de Muritiba, até o nº 685",900,2012,"Bloco: Amigos da Onça - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 17:00:00",-43.1804563,-22.8047328
"Amigos da Sueca da Pedro Américo","Catete","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 21:30:00,"rua pedro americo  rio de janeiro","Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro, Rua do Catete e Rua Pedro Américo",950,2010,"Bloco: Amigos da Sueca da Pedro Américo - Bairro: Catete - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 17:00:00",-43.1815321,-22.9242144
"Amigos do Zé","Cosmos","Zona Oeste",2018-02-13,"Terça de Carnaval",1899-12-31 19:00:00,1899-12-31 21:00:00,1899-12-31 22:00:00,"rua beira rio  rio de janeiro","Rua Beira Rio, Rua Independência, Rua Itagiba, Rua Curaré, Rua Cosmos, Rua Guarujá.",500,2013,"Bloco: Amigos do Zé - Bairro: Cosmos - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 19:00:00",-43.2487247,-22.8803327
"Bafo do Peru","Padre Miguel","Zona Oeste",2018-02-13,"Terça - antes do carnaval",1900-01-01 17:00:00,1900-01-01 18:00:00,1900-01-01 22:00:00,"rua tapiranga  largo  rio de janeiro","Rua Tapiranga, Rua Icote, Rua Ceriba, Rua Pedro Melo, Rua Maria Rosa, Largo da Tapiranga",800,2008,"Bloco: Bafo do Peru - Bairro: Padre Miguel - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 17:00:00",NA,NA
"Bagunça Meu Coreto","Laranjeiras","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 09:00:00,1899-12-31 11:00:00,1899-12-31 15:00:00,"praca sao salvador rio de janeiro","Praça São Salvador, Rua São Salvador, Rua Ipiranga, Rua Paissandu, Rua Senador Correa e Praca São Salvador",900,2005,"Bloco: Bagunça Meu Coreto - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 09:00:00",-43.1808171,-22.9340007
"Baile do Negrão","Madureira","Zona Norte 1",2018-02-13,"Terça-feira de Carnaval",1899-12-31 15:00:00,1899-12-31 17:30:00,1899-12-31 21:00:00,"viaduto negrao de lima rio de janeiro","Saindo da Rua Carvalho de Souza 241 indo até o palanque Rua dos Peixinhos Rua Edgard Romero 81",5000,2007,"Bloco: Baile do Negrão - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.3351852,-22.8764821
"Bambas do Catete","Catete","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 15:00:00,1899-12-31 19:00:00,1899-12-31 21:00:00,"praca do poeta rio de janeiro","Rua do Catete, Rua Pedro Américo, Rua Bento Lisboa, Rua Dois de Dezembro e Rua do Catete até a Silveira Martins",1000,2002,"Bloco: Bambas do Catete - Bairro: Catete - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.192434,-22.9854223
"Bambas do Curuzu","São Cristóvão","Centro",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua curuzu  rio de janeiro","Parado",1500,2007,"Bloco: Bambas do Curuzu - Bairro: São Cristóvão - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.2304204,-22.896283
"Banana Com Queijo","Realengo","Zona Oeste",2018-02-13,"Terça-feira de Carnaval",1899-12-31 15:00:00,1899-12-31 16:00:00,1899-12-31 21:00:00,"rua tecobe rio de janeiro","Rua Tecobé, Rua ibitú, Rua João Luso, Rua Ocabí, Rua Silva Neto, Rua Iguarim, Rua Acú, Rua Mirim, Rua Tecobé 275 Término",1000,2013,"Bloco: Banana Com Queijo - Bairro: Realengo - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.4387038,-22.8965593
"Banda da Amizade","Lapa","Centro",2018-02-13,"Terça-feira de Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"rua tadeu kosciusco rio de janeiro","Rua Tadeu Kosciusko, Rua do Rezende, Rua Ubaldino de Amaral, Rua Washington Luiz, Rua Conselheiro Josino, Av. Henrique Valadares, Praça da Cruz Vermelha, Rua Carlos Sampaio e Rua Tadeu Kosciusko",1000,1999,"Bloco: Banda da Amizade - Bairro: Lapa - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.1883721,-22.9144485
"Banda da Glória","Glória","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"rua da gloria  rio de janeiro","Rua da Glória 180, Rua Américo, Rua do catete, Rua da Glória",1000,1974,"Bloco: Banda da Glória - Bairro: Glória - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.1770481,-22.9192102
"Banda da Inválidos","Lapa","Centro",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:30:00,1899-12-31 18:30:00,1899-12-31 22:00:00,"rua dos invalidos entre av  mem de sa e henrique valadares rio de janeiro","Rua dos Inválidos, Rua do Senado, Rua Ubaldino do Amaral, Av.Henrique Valadares, Rua dos Inválidos;",1000,1976,"Bloco: Banda da Inválidos - Bairro: Lapa - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:30:00",NA,NA
"Banda da Nega","Recreio dos Bandeirantes","Barra/JPA",2018-02-13,"Terça-feira de Carnaval",1899-12-31 14:00:00,1899-12-31 14:00:00,1899-12-31 20:00:00,"av  lucio costa  rio de janeiro","Parado",1000,2014,"Bloco: Banda da Nega - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 14:00:00",-43.3936224,-23.0130333
"Banda da Penha","Penha","Zona Norte 2",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1900-01-04 20:00:00,1900-01-04 22:00:00,"largo da rua couto rio de janeiro","Parado",1000,2014,"Bloco: Banda da Penha - Bairro: Penha - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.2359697,-22.8904448
"Banda da Saens Pena","Tijuca","Tijuca e Adj",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua desembargador izidro  rio de janeiro","Rua Desembargador Izidro, Rua Abelardo Barbosa, Rua Conde de Bonfim, Rua Pareto, Rua Almirante Cochrane, Rua Santo Afonso e Rua General Roca",1000,2005,"Bloco: Banda da Saens Pena - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.2337096,-22.9283107
"Banda das Quengas","Lapa","Centro",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"no meio da rua washington luiz rio de janeiro","Parado",15000,1990,"Bloco: Banda das Quengas - Bairro: Lapa - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",NA,NA
"Banda de Ipanema","Ipanema","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 15:00:00,1899-12-31 17:30:00,1899-12-31 21:00:00,"rua jangadeiros rio de janeiro","Rua Gomes Carneiro, Avenida Vieira Souto, Rua Joana Angélica e Rua Visconde de Pirajá, até a Praça General Osório",90000,1965,"Bloco: Banda de Ipanema - Bairro: Ipanema - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.1968402,-22.9846819
"Banda do Andaraí","Andaraí","Tijuca e Adj",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua maxwell  rio de janeiro","Segue na Rua Maxwell até o Largo do Verdun.",500,2017,"Bloco: Banda do Andaraí - Bairro: Andaraí - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.2438058,-22.9201933
"Banda do Largo da 2ª Feira","Tijuca","Tijuca e Adj",2018-02-13,"Terça-feira de Carnaval",1899-12-31 15:00:00,1899-12-31 18:00:00,1899-12-31 21:00:00,"rua conde de bonfim  rio de janeiro","Rua Conde de Bonfim, Rua Haddock Lobo, Rua Campos Salles, Rua Doutor Satamini, Rua São Francisco Xavier e Rua Conde de Bonfim até o nº 25",6000,1990,"Bloco: Banda do Largo da 2ª Feira - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.240153,-22.9321013
"Banda do Peru Pelado","Copacabana","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"avenida atlantica rio de janeiro","Rua República do Peru, Rua Barata Ribeiro, Rua Siqueira Campos e Avenida Atlântica até a esquina com República do Peru",1500,2009,"Bloco: Banda do Peru Pelado - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.1814726,-22.9695324
"Banda Haddock","Tijuca","Tijuca e Adj",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua afonso pena  rio de janeiro","PARADO",2200,1984,"Bloco: Banda Haddock - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.2188022,-22.9177678
"Banguçando o Coreto","Bangu","Zona Oeste",2018-02-13,"Terça-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua abaete rio de janeiro","Rua Abaeté, Rua Santa Cecília, seguindo até Rua Fonseca.",1000,2010,"Bloco: Banguçando o Coreto - Bairro: Bangu - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 17:00:00",NA,NA
"Batalha dos Blocos","Recreio dos Bandeirantes","Barra/JPA",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"praia do recreio posto  rio de janeiro","Parado",4000,2017,"Bloco: Batalha dos Blocos - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.4713169,-23.032474
"Batuke de Batom","Ilha do Governador","Zona Norte 3",2018-02-13,"Terça-feira de Carnaval",1899-12-31 10:00:00,1899-12-31 12:00:00,1899-12-31 16:00:00,"praca iaia garcia rio de janeiro","Rua Fernandes da Fonseca, Rua Paramopama, retorno a origem.",2000,2013,"Bloco: Batuke de Batom - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 10:00:00",NA,NA
"Bicho Solto com Desculpa pra Beber","Humaitá","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 19:00:00,1899-12-31 21:00:00,"estacionamento da cobal do humaita rio de janeiro","Voluntários da Pátria, Rua Conde de Irajá, Largo dos Leões e Rua Marques",3000,2003,"Bloco: Bicho Solto com Desculpa pra Beber - Bairro: Humaitá - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 17:00:00",-43.1950927,-22.955402
"Birita mas num cai","Madureira","Zona Norte 1",2018-02-13,"Terça de Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"bar do julio fragoso rio de janeiro","Início: Julio Fragoso, Clara Nunes, Estrada do Portela – Retorno: Praça Paulo Portela, Estrada do Portela, Clara Nunes, Julio Fragoso.",600,2017,"Bloco: Birita mas num cai - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.343158,-22.8716004
"Block`n Roll","Ilha do Governador","Zona Norte 3",2018-02-13,"Terça-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca iaia garcia rio de janeiro","Praça Iaiá Garcia - Parado",800,2009,"Bloco: Block`n Roll - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 17:00:00",-43.1695189,-22.8258193
"Bloco Boemios do Catruz","Pedra de Guaratiba","Zona Oeste",2018-02-13,"terça-feia de carnaval",1899-12-31 21:00:00,1899-12-31 21:00:00,1899-12-31 22:00:00,"praca dr  raul capello barrozo rio de janeiro","Parado",1500,2010,"Bloco: Bloco Boemios do Catruz - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 21:00:00",NA,NA
"Bloco Confetes e Serpentinas","Pedra de Guaratiba","zona oeste",2018-02-13,"Terça-feira de Carnaval",1899-12-31 19:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"praca dr  raul capello barrozo rio de janeiro","Parado",1500,2016,"Bloco: Bloco Confetes e Serpentinas - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 19:00:00",NA,NA
"Bloco da Coroinha","Pedra de Guaratiba","Zona Oeste",2018-02-13,"Terça de Carnaval",1899-12-31 17:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"rua barros de alarcao  praca sao pedro rio de janeiro","Rua Barros de Alarcão n°216 ao n°579",200,2007,"Bloco: Bloco da Coroinha - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 17:00:00",NA,NA
"Bloco da Gold / Giro do Arar","Centro","Centro",2018-02-13,"Terça-feira de Carnaval",1899-12-31 09:00:00,1899-12-31 10:00:00,1899-12-31 15:00:00,"av  pres  antonio carlos  rio de janeiro","Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.",5000,2014,"Bloco: Bloco da Gold / Giro do Arar - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 09:00:00",-43.1729739,-22.9077771
"Bloco do Boi ""Só Falta Você!""","Pedra de Guaratiba","Zona Oeste",2018-02-13,"Terça-feira de Carnaval",1900-01-02 18:00:00,1900-01-02 18:50:00,1900-01-02 22:00:00,"rua barros de alarcao  praca sao pedro rio de janeiro","Rua Barros de Alarcão até o final da rua",200,2010,"Bloco: Bloco do Boi ""Só Falta Você!"" - Bairro: Pedra de Guaratiba - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 18:00:00",NA,NA
"Bloco do galho","Guaratiba","Zona Oeste",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:30:00,1899-12-31 17:30:00,1899-12-31 22:00:00,"rua abilio barreto  inicio  rio de janeiro","Rua Abílio Barreto do início ao final da rua.",600,1979,"Bloco: Bloco do galho - Bairro: Guaratiba - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:30:00",NA,NA
"Bloco do Limão","Jardim América","Zona Norte 2",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca rivadavia c maia rio de janeiro","Praça Andrade Neves, Rua Monsenhor Castelo Branco, Rua Ministro Artur Costa, Rua George Bizet, Rua Franz Liszt, Rua Debussy, Rua Ministro Artur Costa, Rua Viana do Casteloo e Praça Andrade Neves",800,2010,"Bloco: Bloco do Limão - Bairro: Jardim América - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",NA,NA
"Bloco do UHH!","Copacabana","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 20:00:00,"praca serzedelo correa rio de janeiro","Parado",250,2008,"Bloco: Bloco do UHH! - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",-43.1837295,-22.9694962
"Bloco dos Cachaças","Barra da Tijuca","Barra/JPA",2018-02-13,"Terça-feira de Carnaval",1899-12-31 14:00:00,1899-12-31 15:00:00,1899-12-31 20:00:00,"av  lucio costa  rio de janeiro","Avenida Lucio Costa, em frente ao nº 3604 - Calçadão da praia",1000,2008,"Bloco: Bloco dos Cachaças - Bairro: Barra da Tijuca - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 14:00:00",-43.3936224,-23.0130333
"Bloco dos Primos","Ilha de Paquetá","Centro",2018-02-13,"Terça-feira de Carnaval",1899-12-31 17:00:00,1899-12-31 17:30:00,1899-12-31 22:00:00,"praca ex combatentes rio de janeiro","Praia da Moreninha, Rua José Bonifácio, Rua Furkin Werneck, Praça Pintor Pedro Bueno.",500,2014,"Bloco: Bloco dos Primos - Bairro: Ilha de Paquetá - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 17:00:00",-43.0736448,-22.8319002
"Bloco Só Te Pegando","Barra da Tijuca","Barra/JPA",2018-02-13,"terça de carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 21:00:00,"av  lucio costa posto  rio de janeiro","Parado",500,2010,"Bloco: Bloco Só Te Pegando - Bairro: Barra da Tijuca - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 15:00:00",NA,NA
"Boi de Anchieta","Anchieta","Zona Oeste",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca nossa senho de nazare rio de janeiro","Praça Nazaré, Rua Motorista Luiz de Abreu, Avenida Nazaré, Rua Motoriasta Luiz de Abreu, Praça Nazaré",2000,1945,"Bloco: Boi de Anchieta - Bairro: Anchieta - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.398603,-22.8217858
"Bonecas Deslumbradas de Olaria","Olaria","Zona Norte 3",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"rua conselheiro paulino  rio de janeiro","Rua Conselheiro Paulino, Rua João Rêgo, Paranapanema, Rua Delfim Carlos, Praca Belmonte, Rua João Rêgo e Rua Conselheiro Paulino",4000,1977,"Bloco: Bonecas Deslumbradas de Olaria - Bairro: Olaria - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.268331,-22.8527132
"Cabeça de Chave","Copacabana","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"rua duvivier  rio de janeiro","Parado",2500,1982,"Bloco: Cabeça de Chave - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.1779977,-22.965371
"Cachorro Cansado","Flamengo","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca jose de alencar rio de janeiro","Praça José de Alencar, Rua Marquês de Abrantes, Rua Marquês de Paraná, Rua Senador Vergueiro, Rua Barão do Flamengo e Praça José de Alencar",10000,1987,"Bloco: Cachorro Cansado - Bairro: Flamengo - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",-43.1772147,-22.9331895
"Caldeirão do Coqueiro","Santíssimo","Zona Oeste",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"praca do coqueiro rio de janeiro","Parado",500,2010,"Bloco: Caldeirão do Coqueiro - Bairro: Santíssimo - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",NA,NA
"Canela Fina","Quintino Bocaiúva","Zona Norte 1",2018-02-13,"Terça-feira de Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua pedro reis rio de janeiro","Rua Pedro Reis, Argentina Reis, Travessa Guerra, João Barbalho, 21 de Abril, Nervalde Gouveia, Praça de Quintino",200,2011,"Bloco: Canela Fina - Bairro: Quintino Bocaiúva - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 16:00:00",NA,NA
"Cantinho do Urubu","Madureira","Zona Norte 2",2018-02-13,"Terça-feira de Carnaval",1900-01-01 20:00:00,1900-01-01 20:00:00,1899-12-31 22:00:00,"estrada do portela  rio de janeiro","Parado",1000,2013,"Bloco: Cantinho do Urubu - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 20:00:00",-43.3430886,-22.8687916
"Cardosão de Laranjeiras","Laranjeiras","Zona Sul",2018-02-13,"Terça-feira de Carnaval",1899-12-31 11:00:00,1899-12-31 13:00:00,1899-12-31 19:00:00,"rua cardoso junior rio de janeiro","Rua Cardoso Júnior, da Rua das Laranjeiras até a Quadra da Cardoso Júnior",700,1970,"Bloco: Cardosão de Laranjeiras - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 11:00:00",-43.1887702,-22.9395931
"Carmelitas","Santa Teresa","Centro",2018-02-13,"Terça-feira de Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"largo do curvelo rio de janeiro","Saindo do largo do Curvelo, seguindo até altura do Nº200 da Rua Joaquim Murtinho",800,1990,"Bloco: Carmelitas - Bairro: Santa Teresa - Regiao: Zona Norte 2Data: 2018-02-13 - Concentração 08:00:00",-43.622774,-22.9224152
